search.year,ID,Authors,Ttitle,Journal,Vol,DOI,Year
2016,68,"Valiente-Banuet, Alfonso; Rumebe, Adolfo Vital; Verdu, Miguel; Callaway, Ragan M.",Modern quaternary plant lineages promote diversity through facilitation of ancient tertiary lineages,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,103,10.1073/pnas.0604933103,2006
2016,69,"Miriti, Maria N.",Ontogenetic shift from facilitation to competition in a desert shrub,JOURNAL OF ECOLOGY,94,10.1111/j.1365-2745.2006.01138.x,2006
2016,70,"Gillespie, IG; Loik, ME",Pulse events in Great Basin Desert shrublands: physiological responses of Artemisia tridentata and Purshia tridentata seedlings to increased summer precipitation,JOURNAL OF ARID ENVIRONMENTS,59,10.1016/j.jaridenv.2004.01.007,2004
2016,71,"Levin, DA",The ecological transition in speciation,NEW PHYTOLOGIST,161,10.1046/j.1469-8137.2003.00921.x,2004
2016,72,"Harris, MR; Facelli, JM","Competition and resource availability in an annual plant community dominated by an invasive species, Carrichtera annua (L. Aschers.), in South Australia",PLANT ECOLOGY,167,10.1023/A:1023981500007,2003
2016,73,"Wardle, DA; Peltzer, DA",Interspecific interactions and biomass allocation among grassland plant species,OIKOS,100,10.1034/j.1600-0706.2003.12030.x,2003
2016,74,"Gibson, LA; Hume, ID; McRae, PD","Ecophysiology and nutritional niche of the bilby (Macrotis lagotis), an omnivorous marsupial from inland Australia: a review",COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR AND INTEGRATIVE PHYSIOLOGY,133,10.1016/S1095-6433(02)00204-0,2002
2016,75,"Weltzin, JF; McPherson, GR",Implications of precipitation redistribution for shifts in temperate savanna ecotones,ECOLOGY,81,,2000
2016,76,"Knapp, PA","Cheatgrass (Bromus tectorum L) dominance in the Great Basin Desert - History, persistence, and influences to human activities",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,6,10.1016/0959-3780(95)00112-3,1996
2016,77,"MONTANA, C; CAVAGNARO, B; BRIONES, O","SOIL-WATER USE BY COEXISTING SHRUBS AND GRASSES IN THE SOUTHERN CHIHUAHUAN DESERT, MEXICO",JOURNAL OF ARID ENVIRONMENTS,31,10.1006/jare.1995.0043,1995
2016,78,"WELLS, PV; HUNZIKER, JH",ORIGIN OF CREOSOTE BUSH (LARREA) DESERTS OF SOUTHWESTERN NORTH-AMERICA,ANNALS OF THE MISSOURI BOTANICAL GARDEN,63,10.2307/2395251,1976
2016,79,"Chu, Jianmin; Yang, Hongxiao; Lu, Qi; Zhang, Xiaoyan",Endemic shrubs in temperate arid and semiarid regions of northern China and their potentials for rangeland restoration,AOB PLANTS,7,10.1093/aobpla/plv063,2015
2016,80,"Chu, Jianmin; Yang, Hongxiao; Lu, Qi; Zhang, Xiaoyan",Endemic shrubs in temperate arid and semiarid regions of northern China and their potentials for rangeland restoration.,AoB PLANTS,7,10.1093/aobpla/plv063,2015
2016,81,"Gelviz-Gelvez, Sandra M.; Pavon, Numa P.; Illoldi-Rangel, Patricia; Ballesteros-Barrera, Claudia",Ecological niche modeling under climate change to select shrubs for ecological restoration in Central Mexico,ECOLOGICAL ENGINEERING,74,10.1016/j.ecoleng.2014.09.082,2015
2016,82,"Alvarez-Yepiz, Juan C.; Burquez, Alberto; Dovciak, Martin",Ontogenetic shifts in plant-plant interactions in a rare cycad within angiosperm communities,OECOLOGIA,175,10.1007/s00442-014-2929-3,2014
2016,83,"Soliveres, Santiago; Torices, Ruben; Maestre, Fernando T.",Environmental conditions and biotic interactions acting together promote phylogenetic randomness in semi-arid plant communities: new methods help to avoid misleading conclusions,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01410.x,2012
